instance,populationSize,crossoverProb,mutationProb,run,hv,timeMillis,n_points,n_nd
instancia_mediana.json,60,0.9,0.05,2,375.0,349.0,1,1
instancia_mediana.json,60,0.9,0.05,3,350.0,343.0,1,1
instancia_mediana.json,60,0.9,0.05,4,325.0,344.0,1,1
instancia_mediana.json,60,0.9,0.05,5,325.0,340.0,1,1
instancia_mediana.json,60,0.9,0.05,6,300.0,356.0,1,1
instancia_mediana.json,60,0.9,0.05,7,300.0,349.0,1,1
instancia_mediana.json,60,0.9,0.05,8,350.0,403.0,1,1
instancia_mediana.json,60,0.9,0.05,9,350.0,354.0,1,1
instancia_mediana.json,60,0.9,0.05,10,300.0,354.0,1,1
instancia_mediana.json,60,0.9,0.05,11,294.0,419.0,2,2
instancia_mediana.json,60,0.9,0.05,12,321.0,411.0,3,3
instancia_mediana.json,60,0.9,0.05,13,275.0,344.0,1,1
instancia_mediana.json,60,0.9,0.05,14,325.0,392.0,1,1
instancia_mediana.json,60,0.9,0.05,15,350.0,381.0,1,1
instancia_mediana.json,60,0.9,0.05,16,225.0,344.0,1,1
instancia_mediana.json,60,0.9,0.05,17,250.0,339.0,1,1
instancia_mediana.json,60,0.9,0.05,18,275.0,343.0,1,1
instancia_mediana.json,60,0.9,0.05,19,325.0,349.0,1,1
instancia_mediana.json,60,0.9,0.05,20,350.0,351.0,1,1
instancia_mediana.json,60,0.9,0.05,21,350.0,369.0,1,1
instancia_mediana.json,60,0.9,0.05,22,350.0,343.0,1,1
instancia_mediana.json,60,0.9,0.05,23,275.0,339.0,1,1
instancia_mediana.json,60,0.9,0.05,24,175.0,326.0,1,1
instancia_mediana.json,60,0.9,0.05,25,325.0,336.0,1,1
instancia_mediana.json,60,0.9,0.05,26,250.0,339.0,1,1
instancia_mediana.json,60,0.9,0.05,27,275.0,355.0,1,1
instancia_mediana.json,60,0.9,0.05,28,350.0,343.0,1,1
instancia_mediana.json,60,0.9,0.05,29,350.0,374.0,1,1
instancia_mediana.json,60,0.9,0.1,0,300.0,353.0,1,1
instancia_mediana.json,60,0.9,0.1,1,325.0,345.0,1,1
instancia_mediana.json,60,0.9,0.1,2,350.0,375.0,1,1
instancia_mediana.json,60,0.9,0.1,3,275.0,343.0,1,1
instancia_mediana.json,60,0.9,0.1,4,300.0,361.0,1,1
instancia_mediana.json,60,0.9,0.1,5,350.0,351.0,1,1
instancia_mediana.json,60,0.9,0.1,6,350.0,359.0,1,1
instancia_mediana.json,60,0.9,0.1,7,225.0,334.0,1,1
instancia_mediana.json,60,0.9,0.1,8,350.0,355.0,1,1
instancia_mediana.json,60,0.9,0.1,9,375.0,373.0,1,1
instancia_mediana.json,60,0.9,0.1,10,250.0,361.0,1,1
instancia_mediana.json,60,0.9,0.1,11,350.0,346.0,1,1
instancia_mediana.json,60,0.9,0.1,12,225.0,352.0,1,1
instancia_mediana.json,60,0.9,0.1,13,275.0,346.0,1,1
instancia_mediana.json,60,0.9,0.1,14,300.0,390.0,1,1
instancia_mediana.json,60,0.9,0.1,15,275.0,349.0,1,1
instancia_mediana.json,60,0.9,0.1,16,350.0,338.0,1,1
instancia_mediana.json,60,0.9,0.1,17,300.0,357.0,1,1
instancia_mediana.json,60,0.9,0.1,18,225.0,341.0,1,1
instancia_mediana.json,60,0.9,0.1,19,300.0,344.0,1,1
instancia_mediana.json,60,0.9,0.1,20,350.0,354.0,1,1
instancia_mediana.json,60,0.9,0.1,21,325.0,356.0,1,1
instancia_mediana.json,60,0.9,0.1,22,250.0,368.0,1,1
instancia_mediana.json,60,0.9,0.1,23,200.0,336.0,1,1
instancia_mediana.json,60,0.9,0.1,24,350.0,372.0,1,1
instancia_mediana.json,60,0.9,0.1,25,350.0,365.0,1,1
instancia_mediana.json,60,0.9,0.1,26,350.0,344.0,1,1
instancia_mediana.json,60,0.9,0.1,27,325.0,359.0,1,1
instancia_mediana.json,60,0.9,0.1,28,300.0,352.0,1,1
instancia_mediana.json,60,0.9,0.1,29,350.0,342.0,1,1
instancia_mediana.json,60,0.9,0.2,0,350.0,386.0,1,1
instancia_mediana.json,60,0.9,0.2,1,325.0,370.0,1,1
instancia_mediana.json,60,0.9,0.2,2,350.0,378.0,1,1
instancia_mediana.json,60,0.9,0.2,3,350.0,374.0,1,1
instancia_mediana.json,60,0.9,0.2,4,350.0,391.0,1,1
instancia_mediana.json,60,0.9,0.2,5,325.0,354.0,1,1
instancia_mediana.json,60,0.9,0.2,6,325.0,379.0,1,1
instancia_mediana.json,60,0.9,0.2,7,350.0,386.0,1,1
instancia_mediana.json,60,0.9,0.2,8,325.0,361.0,1,1
instancia_mediana.json,60,0.9,0.2,9,325.0,352.0,1,1
instancia_mediana.json,60,0.9,0.2,10,300.0,358.0,1,1
instancia_mediana.json,60,0.9,0.2,11,300.0,351.0,1,1
instancia_mediana.json,60,0.9,0.2,12,350.0,370.0,1,1
instancia_mediana.json,60,0.9,0.2,13,275.0,377.0,1,1
instancia_mediana.json,60,0.9,0.2,14,350.0,375.0,1,1
instancia_mediana.json,60,0.9,0.2,15,300.0,348.0,1,1
instancia_mediana.json,60,0.9,0.2,16,350.0,396.0,1,1
instancia_mediana.json,60,0.9,0.2,17,300.0,359.0,1,1
instancia_mediana.json,60,0.9,0.2,18,300.0,361.0,1,1
instancia_mediana.json,60,0.9,0.2,19,350.0,400.0,1,1
instancia_mediana.json,60,0.9,0.2,20,325.0,356.0,1,1
