populationSize,crossoverProb,mutationProb,hv_mean,hv_std,time_mean,time_std
200,1.0,0.1,348.3666666666667,14.22111915023067,668.4666666666667,25.582501203285272
200,1.0,0.05,348.1333333333333,9.156619363112108,666.1666666666666,34.02036239476683
200,0.9,0.2,345.0,17.859605741487666,651.5,19.7950707901287
120,1.0,0.1,344.7333333333333,19.01892584321957,481.9,28.14169810821289
120,1.0,0.2,344.1666666666667,16.97276384810907,501.4666666666666,28.472289412125185
200,0.9,0.1,340.8333333333333,23.196437498971218,643.3666666666667,37.20537904503943
200,0.7,0.2,340.5,20.241217763556723,618.4666666666667,20.898330791837328
200,0.9,0.05,338.7333333333333,24.313942833114368,626.8666666666667,25.304672232250148
120,0.9,0.2,337.43333333333334,23.482470840642147,491.4666666666666,34.72823886569322
120,0.7,0.2,336.46666666666664,25.308760011769294,467.4666666666666,23.973740423326863
200,1.0,0.2,336.3666666666667,30.549545211732344,667.4333333333333,23.81781908040966
120,0.9,0.1,330.8,31.27563775914696,475.6666666666667,25.027341370827894
120,0.7,0.1,329.93333333333334,34.327965209174565,437.4333333333333,15.795423460573964
200,0.7,0.1,328.2,31.266816165120627,600.5333333333333,28.79862704262532
120,1.0,0.05,327.56666666666666,34.669556687669655,496.9333333333333,41.71490540961747
60,0.9,0.2,326.6666666666667,25.370813170246244,371.8333333333333,18.52134525041465
60,1.0,0.1,325.5,36.000718383636894,364.9333333333333,17.539970772856037
200,0.7,0.05,325.2,31.965930139058568,598.0333333333333,27.67979884984386
60,1.0,0.05,319.93333333333334,38.475189796608646,361.7,20.49415391831501
60,1.0,0.2,318.1333333333333,40.40974048959955,375.3333333333333,21.590760050082302
60,0.7,0.2,315.8333333333333,40.72793105248648,360.1333333333333,9.7086287015401
120,0.9,0.05,313.26666666666665,44.29830956012947,487.26666666666665,42.08688331447743
120,0.7,0.05,311.3333333333333,48.60632379272968,437.2,16.692761181484293
60,0.9,0.05,310.5,45.36043392117455,356.2333333333333,23.116919215652164
60,0.9,0.1,306.6666666666667,48.21527396664008,354.03333333333336,12.821004676683502
60,0.7,0.1,299.46666666666664,52.15278174439175,352.96666666666664,20.665619179979917
60,0.7,0.05,296.0,51.16572128371453,345.3,20.778221356954983
